dataset	random_seed	model_type	sub_model	indel_model	num_domains	num_fragments	num_sites	num_rate_mults	parameters	sum_joint_loglikes	joint_ave_loss	joint_ece	sum_cond_loglikes	cond_ave_loss	cond_ece	sum_anc_loglikes	anc_ave_loss	anc_ece	aic	bic
data1	0	pairhmm_domain_mix	f81	tkf92	10	10	10	4	29232	561179782.1	661.8419755	106.531456	209872622.2	247.518737	5.699668884	351307160.2	414.3232389	18.62361526	1122418028	1122758601
data1	561	pairhmm_domain_mix	f81	tkf92	5	5	5	4	3692	563477775.4	664.5521733	108.7058334	211355553.5	249.2676708	5.767999649	352122222.3	415.2845035	18.77805519	1126962935	1127005949
data1	471	pairhmm_domain_mix	f81	tkf92	4	4	4	4	1902	564514639.8	665.7750255	109.5911255	212103288.8	250.1495319	5.80228281	352411352.5	415.6254958	18.81884003	1129033084	1129055243
data1	1	pairhmm_domain_mix	f81	tkf92	3	3	3	4	812	567043721.6	668.7577666	111.7970734	213942107.5	252.3181905	5.887044907	353101606.1	416.4395649	18.9210701	1134089067	1134098528
data1	843	pairhmm_fragment_mix	f81	tkf92	1	30	30	4	26162	567672599.6	669.4994488	111.8422394	215920257.1	254.6511726	5.967121601	351752342.5	414.8482762	18.67529869	1135397523	1135702328
data1	844	pairhmm_fragment_mix	f81	tkf92	1	20	20	4	11642	568058502.5	669.9545734	112.1554489	216030773.9	254.7815134	5.973082066	352027728.6	415.17306	18.70877075	1136140289	1136275926
data1	4	pairhmm_fragment_mix	f81	tkf92	1	10	10	4	2922	568977440.6	671.0383472	112.9706497	216527782.7	255.3676737	5.997066021	352449656.4	415.6706717	18.76899529	1137960725	1137994769
data1	842	pairhmm_fragment_mix	f81	tkf92	1	5	5	4	737	571415503.8	673.9137387	115.3486328	218333214.6	257.4969571	6.084028244	353082291.7	416.4167869	18.88986588	1142832482	1142841068
data1	381	pairhmm_domain_mix	f81	tkf92	2	2	2	4	248	572035766.5	674.645263	116.492218	218032432.3	257.1422202	6.088878155	354003336.3	417.5030441	19.06181526	1144072029	1144074918
data1	841	pairhmm_fragment_mix	f81	tkf92	1	4	4	4	474	573097853.6	675.8978639	116.9499435	219460658.2	258.8266369	6.142253876	353637195	417.0712259	18.97042465	1146196655	1146202178
data1	9073	pairhmm_site_mix	f81	tkf92	1	1	900	4	26103	574061363.7	677.1172563	117.5362244	219735604.3	259.1826914	6.132329464	354325760	417.9345644	19.09605408	1148174933	1148479051
data1	573	pairhmm_site_mix	f81	tkf92	1	1	500	4	14503	574062107.8	677.1181343	117.5502853	219738117.1	259.185656	6.132629395	354323989.9	417.9324771	19.09739685	1148153222	1148322191
data1	373	pairhmm_site_mix	f81	tkf92	1	1	175	4	5078	574065677.5	677.1223459	117.5562286	219742171.4	259.1904383	6.132772446	354323508.3	417.9319093	19.097929	1148141511	1148200673
data1	43	pairhmm_site_mix	f81	tkf92	1	1	30	4	873	574091986.5	677.1533737	117.579216	219769290.4	259.2224253	6.134223938	354322695.8	417.9309493	19.09713745	1148185719	1148195890
data1	44	pairhmm_site_mix	f81	tkf92	1	1	20	4	583	574142908.3	677.2134392	117.6362457	219819740.1	259.2819315	6.136823177	354323169.6	417.9315095	19.09830856	1148286983	1148293775
data1	2	pairhmm_fragment_mix	f81	tkf92	1	3	3	4	269	574543139.3	677.6023989	118.2945404	220269194.1	259.7802057	6.180761337	354273946	417.8221954	19.06877518	1149086817	1149089951
data1	5	pairhmm_site_mix	f81	tkf92	1	1	10	4	293	574796767.5	677.9846799	118.2795944	220472228.6	260.0515552	6.170592785	354324537.4	417.9331228	19.09767532	1149594121	1149597535
data1	42	pairhmm_site_mix	f81	tkf92	1	1	5	4	148	576860141	680.4184721	120.414032	222515117.5	262.4611854	6.280402184	354345032.5	417.9572971	19.10231018	1153720578	1153722302
data1	41	pairhmm_site_mix	f81	tkf92	1	1	4	4	119	577975288	681.7338099	121.6273041	223632897	263.7796298	6.343939781	354342389.3	417.9541797	19.10155487	1155950814	1155952200
data1	840	pairhmm_fragment_mix	f81	tkf92	1	2	2	4	122	578878589.8	682.7155269	122.7674942	224513381.3	264.7856971	6.409275532	354365212	417.9298316	19.08418846	1157757424	1157758845
data1	3	pairhmm_site_mix	f81	tkf92	1	1	3	4	90	579608500	683.6602166	123.3534698	225257251.3	265.6955887	6.433063984	354351250	417.9646313	19.10425568	1159217180	1159218229
data1	40	pairhmm_site_mix	f81	tkf92	1	1	2	4	61	582702935.5	687.3101711	126.7215271	228234475.8	269.2072859	6.604222775	354468459.3	418.1028806	19.11724091	1165405993	1165406704
