dataset	random_seed	prediction_head	seq_embedder	total_parameters	sum_cond_logprobs	cond_ave_loss	cond_ece
data2	29	neuralTKF	6-block transformer	43551040	196332325.7	236.8017437	5.222616673
data3	39	neuralTKF	6-block transformer	43551040	198727858.9	242.7074129	5.316227913
data2	2308	neuralTKF	lstm	30082968	199680958.5	240.8406205	5.376402855
data2	211	seq2seq	6-block transformer	42042012	200172546.9	241.4335386	5.405282021
data3	2307	neuralTKF	lstm	30082968	200620691.8	245.01914	5.405048847
data3	311	seq2seq	6-block transformer	42042012	201102776.8	245.6079131	5.432830811
data1	9	neuralTKF	6-block transformer	43551040	201826997.2	238.0299198	5.214087486
data1	11	seq2seq	6-block transformer	42042012	202996270.1	239.4089323	5.268099308
data2	815	neuralTKF	cnn	28528632	203118859.6	244.9871663	5.532638073
data3	635	neuralTKF	cnn	28528632	203900472	249.0247535	5.550664902
data2	902	seq2seq	lstm	26995652	204177041.7	246.2634685	5.597030163
data3	903	seq2seq	lstm	26995652	204280737.1	249.4891732	5.586266518
data2	814	seq2seq	cnn	26473428	204882009.6	247.1137494	5.621767044
data3	634	seq2seq	cnn	26473428	205920950.3	251.4923746	5.653379917
data1	2309	neuralTKF	lstm	30082968	205922668.9	242.8602569	5.396460056
data1	75	neuralTKF	cnn	28528632	207516862.1	244.74041	5.460235119
data1	901	seq2seq	lstm	26995652	210598434.7	248.3747428	5.617395878
data1	74	seq2seq	cnn	26473428	211247933.7	249.1407463	5.639095306
data2	2126	neuralTKF	1-block transformer	29779120	204919362.3	247.1588014	5.616946697
data3	2226	neuralTKF	1-block transformer	29779120	206189387	251.8202177	5.656200886
data2	3126	seq2seq	1-block transformer	26872524	209137067.2	252.2458897	5.831611633
data3	3226	seq2seq	1-block transformer	26872524	210097253.8	256.5929167	5.856312752
data1	2026	neuralTKF	1-block transformer	29779120	211439420.5	249.3665813	5.643858433
data1	3026	seq2seq	1-block transformer	26872524	215746030.6	254.4456939	5.854489803
