Total conditional NLL				
model	data1	data2	data3	average
tkf92	"237,498,279"	"230,549,657"	"231,548,758"	"233,198,898"
h20	"237,685,088"	"230,734,372"	"231,731,479"	"233,383,646"
lg05	"244,875,957"	"237,537,990"	"238,790,129"	"240,401,359"
rs07	"244,897,509"	"237,559,671"	"238,812,594"	"240,423,258"
tkf91	"249,679,532"	"242,120,977"	"243,500,057"	"245,100,188"
				
				
Average conditional NLL				
model	data1	data2	data3	average
tkf92	280.134	278.106	282.826	280.355
h20	280.354	278.329	283.049	280.578
lg05	288.836	286.536	291.671	289.014
rs07	288.862	286.562	291.699	289.041
tkf91	294.502	292.064	297.424	294.663
				
				
conditional ECE				
model	data1	data2	data3	average
tkf92	7.1486	7.1274	7.1637	7.1466
h20	7.1626	7.1412	7.1779	7.1606
lg05	7.5572	7.5255	7.5837	7.5555
rs07	7.5582	7.5267	7.5850	7.5566
tkf91	7.8129	7.7784	7.8468	7.8127
