	seq1	seq2	TREEDIST_stem-to-root	TREEDIST_seq1-to-root	TREEDIST_seq2-to-root	TREEDIST_seq1-to-seq2
0	Q8IEA6_PLAF7/189-419	ODO2_BUCAI/188-418	0.75515	1.1902300000000001	1.15816	0.83809
1	ODO2_STAA8/192-420	Q3A0D1_SYNC1/165-395	0.57714	1.03654	0.97837	0.86063
2	Q1IIF0_KORVE/320-555	Q2FY54_STAA8/193-416	0.392	0.9690300000000001	1.01714	1.2021700000000002
3	A4FGQ0_SACEN/225-452	Q73XK2_MYCPA/161-385	0.65645	1.24961	1.29995	1.23666
4	A0JUQ7_ARTS2/229-460	Q83FF4_TROWT/212-438	0.68066	1.14623	1.1813500000000001	0.9662599999999999
5	Q8RD59_CALS4/185-414	A9W9S5_CHLAA/229-461	0.62085	1.04542	1.20571	1.00943
6	O84249_CHLTR/201-428	A5G2C9_ACICJ/193-425	0.89876	1.61292	1.15849	0.97389
7	ODP2_SCHPO/252-483	ODP2_YEAST/248-482	1.06975	1.4062999999999999	1.62447	0.89127
8	A7SJI4_NEMVE/174-396	B9KH21_ANAMF/208-432	1.09903	1.67307	1.5539999999999998	1.02901
9	Q018W7_OSTTA/269-503	A4ICH2_LEIIN/226-463	1.14034	1.56867	1.64331	0.9313
10	A4XEQ9_NOVAD/253-480	A1SQ65_NOCSJ/201-427	1.20448	1.8690099999999998	1.64319	1.10324
11	A0LSF1_ACIC1/217-449	O45279_CAEEL/97-322	0.88554	1.4191500000000001	1.71478	1.36285
12	A9B180_HERA2/216-442	A5UU13_ROSS1/233-457	0.86583	1.39947	1.24506	0.9128700000000001
13	A8Z6A0_SULMW/148-370	Q8IJJ4_PLAF7/416-640	0.75276	1.26606	2.03507	1.79561
14	A8FC90_BACP2/211-441	A5GAC3_GEOUR/194-419	0.38415	1.03874	1.38751	1.65795
15	Q81CI7_BACCR/169-399	Q5HKM0_STAEQ/202-425	0.64891	1.18033	1.28465	1.16716
16	Q8RBW8_CALS4/173-398	Q8DPQ9_STRR6/145-374	0.27603	1.25416	0.96104	1.6631399999999998
17	A5GEF2_GEOUR/180-403	Q67RX4_SYMTH/33-262	0.08549	1.76051	1.1524100000000002	2.74194
18	Q5SLR1_THET8/217-449	A7HBV2_ANADF/220-451	0.47386	0.8619300000000001	0.9613499999999999	0.87556
19	Q0W153_METAR/195-425	A5G5K2_GEOUR/156-387	0.3689	0.85185	0.95656	1.0706099999999998
20	U5LA13_9BACI/162-388	Q9KG97_HALH5/180-411	0.41194	1.12866	0.71051	1.01529
21	Q5UWH1_HALMA/304-539	A6TMP1_ALKMQ/205-437	0.30301999999999996	0.7425999999999999	0.85332	0.9898800000000001
22	ODP2_BUCBP/176-410	Q87LU3_VIBPA/395-626	0.78762	1.32804	1.18108	0.93388
23	A0LLM2_SYNFM/206-441	Q1IX53_DEIGD/361-594	0.46077	1.01589	0.96031	1.05466
24	Q6MTX8_MYCMS/197-428	Q7UU97_RHOBA/235-467	0.23834	0.99499	0.93945	1.45776
25	A5IXN4_MYCAP/10-243	Q6KH63_MYCMO/220-452	0.58396	1.2407400000000002	0.9581	1.03092
26	Q6C806_YARLI/226-463	A2QTN3_ASPNC/236-469	0.8766	1.29461	1.34535	0.88676
27	A4H464_LEIBR/234-468	Q4DDM3_TRYCC/200-436	0.9945599999999999	1.3662199999999998	1.4393699999999998	0.81647
28	A0CLV5_PARTE/180-390	Q7PG41_ANOGA/236-467	0.66091	1.45709	1.08277	1.21804
29	ODB2_ARATH/249-480	Q5KP05_CRYNJ/357-629	0.49385	1.19168	2.2265	2.43048
30	ODP2_MYCPN/169-401	Q6MPR6_BDEBA/309-540	0.12222	1.2701500000000001	0.72459	1.7503000000000002
31	Q9CJD7_LACLA/298-530	Q03DD0_PEDPA/195-427	0.47792999999999997	0.95544	0.8187	0.81828
32	Q7MB23_PHOLL/166-382	Q87IG1_VIBPA/172-383	0.44472999999999996	2.14837	1.3581599999999998	2.61707
33	Q63HZ8_BURPS/252-481	KGD_MYCS2/97-344	0.21442	0.95906	1.8997600000000001	2.42998
