	pairID	ancestor	descendant	TREEDIST_anc-to-desc	perc_seq_id	anc_seq_len	desc_seq_len	alignment_len	num_matches	num_subs	num_ins	num_dels	pfam	clan	type	pfam_Nseqs	original_loc
0	FW_PF00198_p0	A4H464_LEIBR/234-468	Q4DDM3_TRYCC/200-436	0.81647	0.502127659574468	235	237	237	118	117	2	0	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
1	RV_PF00198_p0	Q4DDM3_TRYCC/200-436	A4H464_LEIBR/234-468	0.81647	0.502127659574468	237	235	237	118	117	0	2	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
2	FW_PF00198_p1	Q03DD0_PEDPA/195-427	Q9CJD7_LACLA/298-530	0.81828	0.5021459227467812	233	233	234	117	115	1	1	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
3	RV_PF00198_p1	Q9CJD7_LACLA/298-530	Q03DD0_PEDPA/195-427	0.81828	0.5021459227467812	233	233	234	117	115	1	1	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
4	FW_PF00198_p2	Q1IIF0_KORVE/320-555	Q2FY54_STAA8/193-416	1.2021700000000002	0.4196428571428571	236	224	237	94	129	1	13	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
5	RV_PF00198_p2	Q2FY54_STAA8/193-416	Q1IIF0_KORVE/320-555	1.2021700000000002	0.4196428571428571	224	236	237	94	129	13	1	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
6	FW_PF00198_p3	A5IXN4_MYCAP/10-243	Q6KH63_MYCMO/220-452	1.03092	0.4592274678111588	234	233	234	107	126	0	1	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
7	RV_PF00198_p3	Q6KH63_MYCMO/220-452	A5IXN4_MYCAP/10-243	1.03092	0.4592274678111588	233	234	234	107	126	1	0	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
8	FW_PF00198_p4	A6TMP1_ALKMQ/205-437	Q5UWH1_HALMA/304-539	0.98988	0.4678111587982833	233	236	237	109	123	4	1	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
9	RV_PF00198_p4	Q5UWH1_HALMA/304-539	A6TMP1_ALKMQ/205-437	0.98988	0.4678111587982833	236	233	237	109	123	1	4	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
10	FW_PF00198_p5	A5GAC3_GEOUR/194-419	A8FC90_BACP2/211-441	1.65795	0.3761061946902654	226	231	231	85	141	5	0	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
11	RV_PF00198_p5	A8FC90_BACP2/211-441	A5GAC3_GEOUR/194-419	1.65795	0.3761061946902654	231	226	231	85	141	0	5	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
12	FW_PF00198_p6	A0JUQ7_ARTS2/229-460	Q83FF4_TROWT/212-438	0.96626	0.4493392070484581	232	227	232	102	125	0	5	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
13	RV_PF00198_p6	Q83FF4_TROWT/212-438	A0JUQ7_ARTS2/229-460	0.96626	0.4493392070484581	227	232	232	102	125	5	0	PF00198	CL0149	Domain	69	CHERRIES_split0_all_metadata/PF00198_metadata.tsv
