	pairID	ancestor	descendant	TREEDIST_anc-to-desc	perc_seq_id	anc_seq_len	desc_seq_len	alignment_len	num_matches	num_subs	num_ins	num_dels	pfam	clan	type	pfam_Nseqs
0	FW_PF00389_p0	Q9KP92_VIBCH/13-326	SERA_ECOLI/14-326	0.28813	0.7571884984025559	314	313	314	237	76	0	1	PF00389	CL0063	Domain	78
1	RV_PF00389_p0	SERA_ECOLI/14-326	Q9KP92_VIBCH/13-326	0.28813	0.7571884984025559	313	314	314	237	76	1	0	PF00389	CL0063	Domain	78
2	FW_PF00389_p1	Q9I530_PSEAE/3-328	Q9S2M5_STRCO/3-328	0.99738	0.4938650306748466	326	326	327	161	164	1	1	PF00389	CL0063	Domain	78
3	RV_PF00389_p1	Q9S2M5_STRCO/3-328	Q9I530_PSEAE/3-328	0.99738	0.4938650306748466	326	326	327	161	164	1	1	PF00389	CL0063	Domain	78
4	FW_PF00389_p2	YEAA_SCHPO/9-327	YGDH_SCHPO/9-332	1.8002799999999999	0.31974921630094044	319	324	330	102	211	11	6	PF00389	CL0063	Domain	78
5	RV_PF00389_p2	YGDH_SCHPO/9-332	YEAA_SCHPO/9-327	1.8002799999999999	0.31974921630094044	324	319	330	102	211	6	11	PF00389	CL0063	Domain	78
6	FW_PF00389_p3	GRHPR_HUMAN/9-327	Q9VII9_DROME/10-326	1.42422	0.36908517350157727	319	317	321	117	198	2	4	PF00389	CL0063	Domain	78
7	RV_PF00389_p3	Q9VII9_DROME/10-326	GRHPR_HUMAN/9-327	1.42422	0.36908517350157727	317	319	321	117	198	4	2	PF00389	CL0063	Domain	78
8	FW_PF00389_p4	Q9A244_CAUVC/24-340	Q9HXB7_PSEAE/5-318	1.5448300000000001	0.37579617834394907	317	314	321	118	192	4	7	PF00389	CL0063	Domain	78
9	RV_PF00389_p4	Q9HXB7_PSEAE/5-318	Q9A244_CAUVC/24-340	1.5448300000000001	0.37579617834394907	314	317	321	118	192	7	4	PF00389	CL0063	Domain	78
10	FW_PF00389_p5	O67741_AQUAE/4-320	SERA_SYNY3/32-339	1.6045399999999999	0.36038961038961037	317	308	319	111	195	2	11	PF00389	CL0063	Domain	78
11	RV_PF00389_p5	SERA_SYNY3/32-339	O67741_AQUAE/4-320	1.6045399999999999	0.36038961038961037	308	317	319	111	195	11	2	PF00389	CL0063	Domain	78
12	FW_PF00389_p6	CTBP1_CAEEL/181-504	CTBP_DROME/30-352	1.0135	0.4953560371517028	324	323	324	160	163	0	1	PF00389	CL0063	Domain	78
13	RV_PF00389_p6	CTBP_DROME/30-352	CTBP1_CAEEL/181-504	1.0135	0.4953560371517028	323	324	324	160	163	1	0	PF00389	CL0063	Domain	78
14	FW_PF00389_p7	Q9RUU0_DEIRA/18-329	Q9WYG2_THEMA/4-311	1.3976899999999999	0.35714285714285715	312	308	317	110	193	5	9	PF00389	CL0063	Domain	78
15	RV_PF00389_p7	Q9WYG2_THEMA/4-311	Q9RUU0_DEIRA/18-329	1.3976899999999999	0.35714285714285715	308	312	317	110	193	9	5	PF00389	CL0063	Domain	78
16	FW_PF00389_p8	SERA_SCHPO/58-378	SERA_YEAST/61-381	0.34733	0.7258566978193146	321	321	321	233	88	0	0	PF00389	CL0063	Domain	78
17	RV_PF00389_p8	SERA_YEAST/61-381	SERA_SCHPO/58-378	0.34733	0.7258566978193146	321	321	321	233	88	0	0	PF00389	CL0063	Domain	78
18	FW_PF00389_p9	Q2FXK1_STAA8/6-315	Q9KCG9_HALH5/20-325	0.86818	0.5098039215686274	310	306	314	156	146	4	8	PF00389	CL0063	Domain	78
19	RV_PF00389_p9	Q9KCG9_HALH5/20-325	Q2FXK1_STAA8/6-315	0.86818	0.5098039215686274	306	310	314	156	146	8	4	PF00389	CL0063	Domain	78
20	FW_PF00389_p10	E9ACF1_LEIMA/115-427	Q89388_PBCV1/32-362	4.61529	0.1757188498402556	313	331	337	55	252	24	6	PF00389	CL0063	Domain	78
21	RV_PF00389_p10	Q89388_PBCV1/32-362	E9ACF1_LEIMA/115-427	4.61529	0.1757188498402556	331	313	337	55	252	6	24	PF00389	CL0063	Domain	78
22	FW_PF00389_p11	Q7W0H7_BORPE/11-324	Q9PBD8_XYLFA/15-328	0.5973299999999999	0.60828025477707	314	314	314	191	123	0	0	PF00389	CL0063	Domain	78
23	RV_PF00389_p11	Q9PBD8_XYLFA/15-328	Q7W0H7_BORPE/11-324	0.5973299999999999	0.60828025477707	314	314	314	191	123	0	0	PF00389	CL0063	Domain	78
24	FW_PF00389_p12	GYAR_AERPE/6-324	Y2577_STAA8/5-317	2.6261599999999996	0.23961661341853036	319	313	319	75	238	0	6	PF00389	CL0063	Domain	78
25	RV_PF00389_p12	Y2577_STAA8/5-317	GYAR_AERPE/6-324	2.6261599999999996	0.23961661341853036	313	319	319	75	238	6	0	PF00389	CL0063	Domain	78
26	FW_PF00389_p13	Q97MV2_CLOAB/3-317	Q9KLW1_VIBCH/3-321	2.67498	0.2	315	319	327	63	244	12	8	PF00389	CL0063	Domain	78
27	RV_PF00389_p13	Q9KLW1_VIBCH/3-321	Q97MV2_CLOAB/3-317	2.67498	0.2	319	315	327	63	244	8	12	PF00389	CL0063	Domain	78
28	FW_PF00389_p14	HPR3_ARATH/9-321	Q9A6E7_CAUVC/11-318	1.70448	0.30844155844155846	313	308	328	95	198	15	20	PF00389	CL0063	Domain	78
29	RV_PF00389_p14	Q9A6E7_CAUVC/11-318	HPR3_ARATH/9-321	1.70448	0.30844155844155846	308	313	328	95	198	20	15	PF00389	CL0063	Domain	78
30	FW_PF00389_p15	SERA2_ARATH/85-394	SERA3_ARATH/49-358	0.24880000000000002	0.7870967741935484	310	310	310	244	66	0	0	PF00389	CL0063	Domain	78
31	RV_PF00389_p15	SERA3_ARATH/49-358	SERA2_ARATH/85-394	0.24880000000000002	0.7870967741935484	310	310	310	244	66	0	0	PF00389	CL0063	Domain	78
32	FW_PF00389_p16	Q97F10_CLOAB/3-323	Q9HVG5_PSEAE/7-321	2.46684	0.26031746031746034	321	315	324	82	230	3	9	PF00389	CL0063	Domain	78
33	RV_PF00389_p16	Q9HVG5_PSEAE/7-321	Q97F10_CLOAB/3-323	2.46684	0.26031746031746034	315	321	324	82	230	9	3	PF00389	CL0063	Domain	78
34	FW_PF00389_p17	Q1GAA2_LACDA/5-332	Q97IU7_CLOAB/3-326	2.6919399999999998	0.23148148148148148	328	324	331	75	246	3	7	PF00389	CL0063	Domain	78
35	RV_PF00389_p17	Q97IU7_CLOAB/3-326	Q1GAA2_LACDA/5-332	2.6919399999999998	0.23148148148148148	324	328	331	75	246	7	3	PF00389	CL0063	Domain	78
36	FW_PF00389_p18	DDH_ZYMMO/3-331	P74586_SYNY3/3-330	1.08335	0.4573170731707317	329	328	329	150	178	0	1	PF00389	CL0063	Domain	78
37	RV_PF00389_p18	P74586_SYNY3/3-330	DDH_ZYMMO/3-331	1.08335	0.4573170731707317	328	329	329	150	178	1	0	PF00389	CL0063	Domain	78
38	FW_PF00389_p19	CTBP2_RAT/36-358	O28495_ARCFU/4-322	2.48201	0.2413793103448276	323	319	333	77	232	10	14	PF00389	CL0063	Domain	78
39	RV_PF00389_p19	O28495_ARCFU/4-322	CTBP2_RAT/36-358	2.48201	0.2413793103448276	319	323	333	77	232	14	10	PF00389	CL0063	Domain	78
40	FW_PF00389_p20	DDH_HAEIN/3-329	Q9JY94_NEIMB/3-329	0.3257	0.7553516819571865	327	327	327	247	80	0	0	PF00389	CL0063	Domain	78
41	RV_PF00389_p20	Q9JY94_NEIMB/3-329	DDH_HAEIN/3-329	0.3257	0.7553516819571865	327	327	327	247	80	0	0	PF00389	CL0063	Domain	78
42	FW_PF00389_p21	DDH1_SCHPO/3-330	DDH2_SCHPO/3-330	0.37208	0.7134146341463414	328	328	328	234	94	0	0	PF00389	CL0063	Domain	78
43	RV_PF00389_p21	DDH2_SCHPO/3-330	DDH1_SCHPO/3-330	0.37208	0.7134146341463414	328	328	328	234	94	0	0	PF00389	CL0063	Domain	78
44	FW_PF00389_p22	Q9Z564_STRCO/7-314	SERA_MYCLE/6-313	0.47644	0.6590909090909091	308	308	308	203	105	0	0	PF00389	CL0063	Domain	78
45	RV_PF00389_p22	SERA_MYCLE/6-313	Q9Z564_STRCO/7-314	0.47644	0.6590909090909091	308	308	308	203	105	0	0	PF00389	CL0063	Domain	78
46	FW_PF00389_p23	HPR2_ARATH/6-313	O25158_HELPY/4-314	2.63699	0.21753246753246752	308	311	315	67	237	7	4	PF00389	CL0063	Domain	78
47	RV_PF00389_p23	O25158_HELPY/4-314	HPR2_ARATH/6-313	2.63699	0.21753246753246752	311	308	315	67	237	4	7	PF00389	CL0063	Domain	78
48	FW_PF00389_p24	O17626_CAEEL/8-316	Q9VKI8_DROME/8-324	1.07887	0.459546925566343	309	317	317	142	167	8	0	PF00389	CL0063	Domain	78
49	RV_PF00389_p24	Q9VKI8_DROME/8-324	O17626_CAEEL/8-316	1.07887	0.459546925566343	317	309	317	142	167	0	8	PF00389	CL0063	Domain	78
50	FW_PF00389_p25	Q9A3I9_CAUVC/6-314	SERA_RAT/9-317	1.08735	0.47572815533980584	309	309	310	147	161	1	1	PF00389	CL0063	Domain	78
51	RV_PF00389_p25	SERA_RAT/9-317	Q9A3I9_CAUVC/6-314	1.08735	0.47572815533980584	309	309	310	147	161	1	1	PF00389	CL0063	Domain	78
52	FW_PF00389_p26	GHRB_ECOLI/5-319	Q9I1L0_PSEAE/4-318	0.7409699999999999	0.5714285714285714	315	315	316	180	134	1	1	PF00389	CL0063	Domain	78
53	RV_PF00389_p26	Q9I1L0_PSEAE/4-318	GHRB_ECOLI/5-319	0.7409699999999999	0.5714285714285714	315	315	316	180	134	1	1	PF00389	CL0063	Domain	78
54	FW_PF00389_p27	SERA_METJA/4-312	SERA_METTH/6-313	0.62971	0.6103896103896104	309	308	309	188	120	0	1	PF00389	CL0063	Domain	78
55	RV_PF00389_p27	SERA_METTH/6-313	SERA_METJA/4-312	0.62971	0.6103896103896104	308	309	309	188	120	1	0	PF00389	CL0063	Domain	78
56	FW_PF00389_p28	PDXB_PSEAE/3-285	PDXB_VIBCH/3-286	1.00461	0.47703180212014135	283	284	287	135	145	4	3	PF00389	CL0063	Domain	78
57	RV_PF00389_p28	PDXB_VIBCH/3-286	PDXB_PSEAE/3-285	1.00461	0.47703180212014135	284	283	287	135	145	3	4	PF00389	CL0063	Domain	78
58	FW_PF00389_p29	O66939_AQUAE/3-332	Q9RKF9_STRCO/17-329	2.7383	0.21725239616613418	330	313	341	68	234	11	28	PF00389	CL0063	Domain	78
59	RV_PF00389_p29	Q9RKF9_STRCO/17-329	O66939_AQUAE/3-332	2.7383	0.21725239616613418	313	330	341	68	234	28	11	PF00389	CL0063	Domain	78
